y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
42.270397,45.0,2.7296028,7.4507318,6.2555065,disease,weather,1
41.82997,36.0,5.8299713,33.988567,14.981301,disease,weather,1
38.467857,39.0,0.53214264,0.2831758,1.3738412,disease,weather,1
39.73383,33.0,6.7338295,45.34446,18.516363,disease,weather,1
36.16289,46.0,9.837109,96.76871,23.945383,disease,weather,1
39.238575,61.0,21.761425,473.55963,43.419262,disease,weather,1
51.977528,40.0,11.977528,143.46117,26.044468,disease,weather,1
44.757835,86.0,41.242165,1700.9161,63.08175,disease,weather,1
61.10644,85.0,23.893559,570.90216,32.707058,disease,weather,1
68.680275,89.0,20.319725,412.89124,25.773325,disease,weather,1
74.63034,75.0,0.36965942,0.13664809,0.4940969,disease,weather,1
72.77302,63.0,9.773018,95.51188,14.396113,disease,weather,1
65.931725,62.0,3.9317245,15.458458,6.1465983,disease,weather,1
61.71032,73.0,11.2896805,127.45689,16.761417,disease,weather,1
68.62819,71.0,2.371811,5.625487,3.3973238,disease,weather,1
69.045784,72.0,2.954216,8.727392,4.1890173,disease,weather,1
68.84468,51.0,17.84468,318.43262,29.779678,disease,weather,1
62.43134,53.0,9.431339,88.95016,16.341038,disease,weather,1
56.06483,44.0,12.064831,145.56013,24.114027,disease,weather,1
51.921112,54.0,2.078888,4.321775,3.9253514,disease,weather,1
51.006634,56.0,4.9933662,24.933706,9.332815,disease,weather,1
55.99982,25.0,30.99982,960.9889,76.54294,disease,weather,1
44.637222,42.0,2.6372223,6.9549413,6.087966,disease,weather,1
45.687775,21.999998,23.687777,561.1108,69.9913,disease,weather,1
35.577435,32.0,3.5774345,12.798038,10.58766,disease,weather,1
34.848984,20.0,14.848984,220.49232,54.144974,disease,weather,1
30.06904,40.0,9.93096,98.62396,28.346214,disease,weather,1
37.492817,25.0,12.492817,156.07048,39.98161,disease,weather,1
31.287683,34.0,2.7123165,7.356661,8.308815,disease,weather,1
36.351414,43.0,6.6485863,44.2037,16.757324,disease,weather,1
37.786198,34.0,3.7861977,14.335293,10.54854,disease,weather,1
35.00334,16.999998,18.003344,324.1204,69.23918,disease,weather,1
29.159994,35.0,5.840006,34.105667,18.204508,disease,weather,1
32.591553,41.0,8.408447,70.70199,22.851664,disease,weather,1
37.005436,42.0,4.994564,24.94567,12.643597,disease,weather,1
37.33237,42.0,4.6676292,21.786762,11.767276,disease,weather,1
43.456974,35.0,8.456974,71.52041,21.558247,disease,weather,1
36.379368,30.0,6.379368,40.696335,19.220936,disease,weather,1
33.79443,26.999998,6.7944317,46.164303,22.352154,disease,weather,1
31.309202,24.0,7.309202,53.42444,26.43033,disease,weather,1
29.762121,34.0,4.237879,17.959618,13.292778,disease,weather,1
31.015543,40.0,8.984457,80.72047,25.302792,disease,weather,1
37.173874,21.0,16.173874,261.5942,55.605286,disease,weather,1
31.24729,11.000003,20.247288,409.95267,95.851295,disease,weather,1
23.659311,24.0,0.3406887,0.116068795,1.4296838,disease,weather,1
22.948324,21.999998,0.9483261,0.8993224,4.2196283,disease,weather,1
22.926508,21.999998,0.92650986,0.8584205,4.124558,disease,weather,1
25.277193,29.0,3.722807,13.859291,13.717758,disease,weather,1
29.124586,32.0,2.875414,8.268005,9.40837,disease,weather,1
29.697947,32.0,2.3020535,5.29945,7.4623346,disease,weather,1
30.790894,31.0,0.20910645,0.043725505,0.6768196,disease,weather,1
31.880474,27.999998,3.880476,15.058094,12.960739,disease,weather,1
28.872501,15.999999,12.872502,165.70131,57.37368,disease,weather,1
23.303612,26.0,2.6963882,7.2705097,10.937893,disease,weather,1
27.112371,35.0,7.8876286,62.214684,25.39793,disease,weather,1
31.380768,33.0,1.6192322,2.621913,5.0301733,disease,weather,1
31.934568,21.999998,9.93457,98.69569,36.839344,disease,weather,1
28.216059,29.0,0.78394127,0.61456394,2.7402842,disease,weather,1
29.283808,34.0,4.7161922,22.24247,14.904894,disease,weather,1
29.88475,25.0,4.8847504,23.860786,17.800028,disease,weather,1
28.3442,30.0,1.6557999,2.7416732,5.6759706,disease,weather,1
30.870934,33.0,2.1290665,4.532924,6.666777,disease,weather,1
31.455435,30.0,1.4554348,2.1182904,4.7365537,disease,weather,1
31.201977,27.999998,3.2019787,10.252667,10.817135,disease,weather,1
31.254602,32.0,0.74539757,0.5556175,2.356817,disease,weather,1
32.008545,41.0,8.991455,80.84627,24.63124,disease,weather,1
33.739044,26.0,7.739044,59.892803,25.909502,disease,weather,1
31.770706,26.999998,4.770708,22.759655,16.234987,disease,weather,1
31.436049,42.0,10.5639515,111.59707,28.77048,disease,weather,1
35.29185,35.0,0.29185104,0.085177034,0.83039796,disease,weather,1
34.346764,34.0,0.3467636,0.120245,1.0147184,disease,weather,1
35.485153,33.0,2.4851532,6.1759863,7.257495,disease,weather,1
35.575348,38.0,2.424652,5.8789377,6.590936,disease,weather,1
34.738544,24.0,10.738544,115.31634,36.563877,disease,weather,1
30.811428,25.0,5.811428,33.772697,20.825226,disease,weather,1
30.8991,46.0,15.100901,228.0372,39.274582,disease,weather,1
36.068855,40.0,3.9311447,15.453898,10.335753,disease,weather,1
37.51268,13.999999,23.51268,552.8461,91.2889,disease,weather,1
29.51916,-1.2389615e-06,29.519161,871.38086,200.0,disease,weather,1
19.002077,-1.2389615e-06,19.002079,361.079,200.0,disease,weather,1
10.392627,2.9999988,7.3926277,54.650944,110.39848,disease,weather,1
8.655898,3.9999988,4.655899,21.677397,73.57675,disease,weather,1
12.486209,2.9999988,9.48621,89.988174,122.51172,disease,weather,1
10.355941,2.9999988,7.355942,54.10988,110.15237,disease,weather,1
8.489036,-1.2389615e-06,8.489037,72.06374,200.0,disease,weather,1
6.856158,44.0,37.14384,1379.6649,146.0741,disease,weather,1
23.392302,44.0,20.607698,424.67725,61.157425,disease,weather,1
29.88026,31.0,1.1197395,1.2538166,3.6784978,disease,weather,1
30.248241,26.999998,3.2482433,10.5510845,11.347924,disease,weather,1
30.708836,50.0,19.291164,372.14902,47.804348,disease,weather,1
37.410263,39.0,1.5897369,2.5272636,4.161056,disease,weather,1
35.135647,-1.2389615e-06,35.135647,1234.5137,200.0,disease,weather,1
22.82134,-1.2389615e-06,22.821342,520.81366,200.0,disease,weather,1
14.927207,33.0,18.072792,326.62582,75.41767,disease,weather,1
21.2595,38.0,16.7405,280.24432,56.498955,disease,weather,1
30.543774,31.0,0.45622635,0.20814247,1.4826076,disease,weather,1
32.87697,34.0,1.1230316,1.2612001,3.3585005,disease,weather,1
32.82607,20.0,12.826069,164.50804,48.559616,disease,weather,1
22.534544,21.0,1.534544,2.3548253,7.049776,disease,weather,1
25.097021,37.0,11.902979,141.68091,38.33671,disease,weather,1
31.928255,21.999998,9.928257,98.57029,36.82024,disease,weather,1
26.199984,46.0,19.800016,392.04065,54.847706,disease,weather,1
35.88473,26.0,9.884731,97.70792,31.945621,disease,weather,1
35.195625,31.0,4.1956253,17.603271,12.676443,disease,weather,1
32.653557,32.0,0.6535568,0.4271365,2.0217197,disease,weather,1
29.993652,23.0,6.9936523,48.911175,26.394302,disease,weather,1
26.944382,23.0,3.9443817,15.558147,15.795096,disease,weather,1
26.035852,32.0,5.9641476,35.571056,20.553322,disease,weather,1
31.576977,30.0,1.5769768,2.4868557,5.1219687,disease,weather,1
30.760181,26.999998,3.7601833,14.138979,13.019985,disease,weather,1
29.51208,26.999998,2.5120811,6.3105516,8.890423,disease,weather,1
30.329409,36.0,5.6705914,32.155605,17.098272,disease,weather,1
30.005089,33.0,2.9949112,8.969493,9.5068865,disease,weather,1
33.166885,39.0,5.8331146,34.025227,16.165627,disease,weather,1
35.374676,37.0,1.6253242,2.6416788,4.491417,disease,weather,1
37.071888,44.0,6.928112,47.998737,17.091282,disease,weather,1
38.741764,27.999998,10.741766,115.38554,32.18904,disease,weather,1
34.71527,32.0,2.715271,7.3726964,8.139878,disease,weather,1
34.324818,34.0,0.32481766,0.10550651,0.95080435,disease,weather,1
33.484097,26.999998,6.4840984,42.043533,21.440674,disease,weather,1
31.04049,25.0,6.040489,36.48751,21.557589,disease,weather,1
30.602898,59.0,28.397102,806.39545,63.384342,disease,weather,1
42.898712,56.0,13.101288,171.64374,26.494354,disease,weather,1
46.660625,39.0,7.6606255,58.68518,17.885988,disease,weather,1
43.13943,40.0,3.139431,9.856027,7.5522065,disease,weather,1
42.98507,42.0,0.9850693,0.9703615,2.3182173,disease,weather,1
39.068382,49.0,9.931618,98.63703,22.554333,disease,weather,1
43.37136,41.0,2.3713608,5.623352,5.621246,disease,weather,1
44.71814,31.0,13.71814,188.18736,36.234753,disease,weather,1
39.831974,36.0,3.831974,14.684025,10.106487,disease,weather,1
36.706818,48.0,11.293182,127.535965,26.664165,disease,weather,1
43.2029,48.0,4.7971,23.012169,10.519622,disease,weather,1
44.447906,65.0,20.552094,422.38855,37.555935,disease,weather,1
52.464764,68.0,15.535236,241.34357,25.792166,disease,weather,1
56.949898,8.999999,47.949898,2299.1926,145.41312,disease,weather,1
37.07854,7.9999986,29.078543,845.56165,129.0128,disease,weather,1
27.368626,11.999999,15.368627,236.19469,78.0755,disease,weather,1
20.500397,15.999999,4.5003977,20.25358,24.659447,disease,weather,1
19.641745,30.0,10.358255,107.29346,41.732033,disease,weather,1
29.59351,18.0,11.59351,134.40947,48.71887,disease,weather,1
28.611979,8.999999,19.61198,384.6298,104.28583,disease,weather,1
18.10538,27.999998,9.894619,97.90349,42.921757,disease,weather,1
23.294397,30.0,6.7056026,44.965107,25.164381,disease,weather,1
25.927607,38.0,12.072393,145.74268,37.768955,disease,weather,1
29.451412,34.0,4.548588,20.689651,14.337232,disease,weather,1
34.503277,32.0,2.5032768,6.266395,7.5282803,disease,weather,1
34.071293,36.0,1.9287071,3.719911,5.5049853,disease,weather,1
35.97831,46.0,10.02169,100.43428,24.449615,disease,weather,1
38.704525,46.0,7.295475,53.223957,17.225702,disease,weather,1
39.95689,19.0,20.95689,439.19125,71.09225,disease,weather,1
31.342852,53.0,21.657148,469.03207,51.355026,disease,weather,1
41.57022,23.0,18.57022,344.85312,57.51946,disease,weather,1
32.7458,25.0,7.7458,59.997417,26.82723,disease,weather,1
30.626669,35.0,4.373331,19.126024,13.327907,disease,weather,1
32.817783,21.999998,10.817785,117.024475,39.468163,disease,weather,1
28.60955,21.0,7.6095505,57.90526,30.677765,disease,weather,1
25.719923,37.0,11.280077,127.240135,35.969677,disease,weather,1
34.454487,23.0,11.454487,131.20528,39.873253,disease,weather,1
27.668285,30.0,2.3317146,5.436893,8.086645,disease,weather,1
28.251368,18.0,10.251368,105.09054,44.328926,disease,weather,1
28.072605,43.0,14.927395,222.82712,42.006046,disease,weather,1
31.90566,25.0,6.9056606,47.68815,24.270557,disease,weather,1
30.74665,15.000001,15.74665,247.95699,68.84285,disease,weather,1
24.839361,16.999998,7.839363,61.455612,37.47363,disease,weather,1
23.392254,4.9999986,18.392256,338.2751,129.55827,disease,weather,1
15.263484,8.999999,6.263485,39.231243,51.6289,disease,weather,1
14.718886,18.0,3.2811136,10.765707,20.056389,disease,weather,1
19.11055,9.999999,9.110551,83.00214,62.592773,disease,weather,1
15.970326,9.999999,5.9703274,35.64481,45.978073,disease,weather,1
13.488587,27.999998,14.511411,210.58104,69.95374,disease,weather,1
23.65641,21.0,2.6564102,7.056515,11.897106,disease,weather,1
19.468767,33.0,13.531233,183.09427,51.578243,disease,weather,1
26.7974,39.0,12.2026005,148.90346,37.09144,disease,weather,1
31.849735,38.0,6.1502647,37.825756,17.609987,disease,weather,1
34.094364,52.0,17.905636,320.6118,41.595375,disease,weather,1
41.16645,45.0,3.8335495,14.696102,8.898009,disease,weather,1
42.34072,61.0,18.659279,348.1687,36.112152,disease,weather,1
48.167427,47.0,1.1674271,1.362886,2.4534173,disease,weather,1
46.17539,46.0,0.17538834,0.030761069,0.3805535,disease,weather,1
46.20842,67.0,20.79158,432.2898,36.73151,disease,weather,1
53.334927,59.0,5.6650734,32.093056,10.0860405,disease,weather,1
54.78145,46.0,8.781448,77.11384,17.426716,disease,weather,1
49.71824,48.0,1.7182388,2.9523447,3.516721,disease,weather,1
50.25598,63.0,12.744019,162.41,22.504805,disease,weather,1
53.387672,88.0,34.612328,1198.0132,48.960888,disease,weather,1
65.931145,65.0,0.9311447,0.8670305,1.4223424,disease,weather,1
67.13478,60.0,7.134781,50.905098,11.223964,disease,weather,1
61.67978,62.0,0.32022095,0.102541454,0.5178226,disease,weather,1
60.314827,83.0,22.685173,514.61707,31.657818,disease,weather,1
68.038246,84.0,15.961754,254.77759,20.997025,disease,weather,1
74.459526,94.0,19.540474,381.8301,23.199013,disease,weather,1
82.16935,93.0,10.83065,117.302986,12.36592,disease,weather,1
83.194374,83.0,0.19437408,0.037781283,0.23391177,disease,weather,1
81.81893,77.0,4.8189316,23.222101,6.0684595,disease,weather,1
78.7622,45.0,33.7622,1139.8861,54.55979,disease,weather,1
61.51958,54.0,7.519581,56.544098,13.018712,disease,weather,1
58.55878,77.0,18.44122,340.07858,27.207708,disease,weather,1
