y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
55.164272,45.0,10.164272,103.31243,20.295204,disease,weather,1
68.15478,36.0,32.154778,1033.9297,61.74422,disease,weather,1
43.84152,39.0,4.8415184,23.4403,11.688627,disease,weather,1
45.56926,33.0,12.56926,157.98628,31.995361,disease,weather,1
31.274181,46.0,14.725819,216.84973,38.113167,disease,weather,1
39.149475,61.0,21.850525,477.44543,43.635826,disease,weather,1
61.03651,40.0,21.03651,442.53476,41.641403,disease,weather,1
37.113407,86.0,48.886593,2389.899,79.417175,disease,weather,1
42.702602,85.0,42.297398,1789.0698,66.24359,disease,weather,1
44.585175,89.0,44.414825,1972.6768,66.49664,disease,weather,1
71.10329,75.0,3.8967133,15.184374,5.33419,disease,weather,1
44.97288,63.0,18.027119,324.97702,33.391937,disease,weather,1
65.0,62.0,3.0,9.0,4.7244096,disease,weather,1
41.799656,73.0,31.200344,973.4615,54.356163,disease,weather,1
57.051556,71.0,13.948444,194.5591,21.78567,disease,weather,1
31.446775,72.0,40.553223,1644.5638,78.40403,disease,weather,1
41.928326,51.0,9.071674,82.29527,19.524023,disease,weather,1
27.370253,53.0,25.629747,656.884,63.779186,disease,weather,1
27.16211,44.0,16.83789,283.51456,47.322628,disease,weather,1
32.68365,54.0,21.316349,454.38675,49.181934,disease,weather,1
47.85992,56.0,8.1400795,66.260895,15.675111,disease,weather,1
45.937645,25.0,20.937645,438.38498,59.031124,disease,weather,1
32.470875,42.0,9.529125,90.80423,25.591549,disease,weather,1
28.600124,21.999998,6.6001263,43.56167,26.087395,disease,weather,1
33.110435,32.0,1.1104355,1.2330669,3.4109294,disease,weather,1
24.634533,20.0,4.634533,21.478895,20.76658,disease,weather,1
25.15495,40.0,14.845051,220.37553,45.568447,disease,weather,1
36.8437,25.0,11.8437,140.27324,38.302044,disease,weather,1
22.079906,34.0,11.920094,142.08862,42.5111,disease,weather,1
23.812656,43.0,19.187344,368.15414,57.436256,disease,weather,1
20.520037,34.0,13.479963,181.70941,49.449577,disease,weather,1
32.38416,16.999998,15.384161,236.67241,62.30404,disease,weather,1
18.107727,35.0,16.892273,285.34888,63.615124,disease,weather,1
22.388393,41.0,18.611607,346.3919,58.722443,disease,weather,1
25.437618,42.0,16.562382,274.3125,49.119114,disease,weather,1
32.69333,42.0,9.306671,86.61413,24.919685,disease,weather,1
25.43552,35.0,9.56448,91.47927,31.651848,disease,weather,1
25.54163,30.0,4.45837,19.877066,16.054157,disease,weather,1
21.969772,26.999998,5.0302258,25.303171,20.544207,disease,weather,1
20.115997,24.0,3.8840027,15.085477,17.608137,disease,weather,1
21.178152,34.0,12.821848,164.39978,46.474365,disease,weather,1
16.133398,40.0,23.866602,569.6147,85.0353,disease,weather,1
18.079264,21.0,2.9207363,8.530701,14.947756,disease,weather,1
21.491455,11.000003,10.491452,110.07057,64.57976,disease,weather,1
22.197294,24.0,1.8027058,3.249748,7.804378,disease,weather,1
32.790836,21.999998,10.790838,116.44219,39.38921,disease,weather,1
21.753996,21.999998,0.2460022,0.06051708,1.1244788,disease,weather,1
30.865688,29.0,1.8656883,3.480793,6.2329135,disease,weather,1
20.36117,32.0,11.63883,135.46237,44.45596,disease,weather,1
16.827137,32.0,15.172863,230.21577,62.149303,disease,weather,1
19.709753,31.0,11.290247,127.46967,44.528896,disease,weather,1
51.037098,27.999998,23.0371,530.70795,58.2944,disease,weather,1
28.210083,15.999999,12.210084,149.08615,55.23665,disease,weather,1
32.573982,26.0,6.5739822,43.217243,22.446766,disease,weather,1
16.896366,35.0,18.103634,327.74155,69.7684,disease,weather,1
18.853857,33.0,14.146143,200.11336,54.561584,disease,weather,1
16.708006,21.999998,5.291992,28.00518,27.343142,disease,weather,1
16.235949,29.0,12.764051,162.921,56.433224,disease,weather,1
23.909737,34.0,10.090263,101.813416,34.848248,disease,weather,1
22.095741,25.0,2.9042587,8.434719,12.333424,disease,weather,1
26.62111,30.0,3.378889,11.416891,11.935086,disease,weather,1
21.282602,33.0,11.717398,137.29741,43.171837,disease,weather,1
22.392307,30.0,7.6076927,57.876987,29.041258,disease,weather,1
30.488068,27.999998,2.4880695,6.1904902,8.507956,disease,weather,1
19.652796,32.0,12.347204,152.45345,47.808464,disease,weather,1
18.614569,41.0,22.385431,501.10754,75.10053,disease,weather,1
18.89575,26.0,7.10425,50.470367,31.64776,disease,weather,1
19.704027,26.999998,7.295971,53.23119,31.243435,disease,weather,1
21.62655,42.0,20.37345,415.07742,64.04072,disease,weather,1
27.71683,35.0,7.2831707,53.044575,23.22557,disease,weather,1
21.665478,34.0,12.334522,152.14044,44.316597,disease,weather,1
23.559584,33.0,9.440416,89.12146,33.3822,disease,weather,1
23.052776,38.0,14.947224,223.4195,48.964928,disease,weather,1
23.828236,24.0,0.17176437,0.029503,0.7182551,disease,weather,1
22.052692,25.0,2.9473076,8.686622,12.527689,disease,weather,1
21.380304,46.0,24.619696,606.1294,73.076836,disease,weather,1
23.993425,40.0,16.006575,256.21042,50.025684,disease,weather,1
23.586277,13.999999,9.586278,91.89673,51.009457,disease,weather,1
24.126022,-1.2389615e-06,24.126024,582.06506,200.0,disease,weather,1
26.718569,-1.2389615e-06,26.71857,713.882,200.0,disease,weather,1
20.68772,2.9999988,17.687721,312.85547,149.34087,disease,weather,1
20.443115,3.9999988,16.443117,270.3761,134.54192,disease,weather,1
23.732578,2.9999988,20.73258,429.83987,155.11098,disease,weather,1
16.292177,2.9999988,13.292178,176.682,137.79865,disease,weather,1
14.372394,-1.2389615e-06,14.372395,206.56572,200.0,disease,weather,1
13.510278,44.0,30.489723,929.6232,106.032265,disease,weather,1
14.312251,44.0,29.687748,881.36237,101.823364,disease,weather,1
9.757598,31.0,21.242401,451.2396,104.23775,disease,weather,1
23.448568,26.999998,3.5514297,12.612654,14.079409,disease,weather,1
19.917355,50.0,30.082645,904.9656,86.05201,disease,weather,1
21.327742,39.0,17.672258,312.30872,58.587498,disease,weather,1
19.906399,-1.2389615e-06,19.9064,396.2648,200.0,disease,weather,1
29.27374,-1.2389615e-06,29.273743,856.952,200.0,disease,weather,1
18.949572,33.0,14.050428,197.41454,54.092567,disease,weather,1
19.287176,38.0,18.712824,350.16977,65.32989,disease,weather,1
13.491893,31.0,17.508106,306.53378,78.70245,disease,weather,1
16.350927,34.0,17.649073,311.48978,70.104256,disease,weather,1
21.282005,20.0,1.2820053,1.6435376,6.210964,disease,weather,1
21.221397,21.0,0.2213974,0.049016807,1.048745,disease,weather,1
42.531208,37.0,5.531208,30.594263,13.909529,disease,weather,1
65.90444,21.999998,43.90444,1927.6,99.8913,disease,weather,1
56.274464,46.0,10.274464,105.564606,20.091944,disease,weather,1
26.108418,26.0,0.10841751,0.011754356,0.41612285,disease,weather,1
33.53707,31.0,2.5370712,6.4367304,7.862369,disease,weather,1
49.47365,32.0,17.473652,305.32852,42.893997,disease,weather,1
26.197159,23.0,3.1971588,10.221825,12.997331,disease,weather,1
26.304495,23.0,3.3044949,10.919686,13.404436,disease,weather,1
25.145617,32.0,6.8543835,46.982574,23.989183,disease,weather,1
37.95818,30.0,7.9581795,63.33262,23.420815,disease,weather,1
25.826374,26.999998,1.173624,1.3773934,4.4433265,disease,weather,1
23.240683,26.999998,3.7593155,14.132453,14.965226,disease,weather,1
24.543224,36.0,11.456776,131.2577,37.8466,disease,weather,1
32.639164,33.0,0.36083603,0.13020264,1.0994534,disease,weather,1
28.626818,39.0,10.373182,107.60291,30.677717,disease,weather,1
25.048803,37.0,11.951197,142.8311,38.521923,disease,weather,1
38.884224,44.0,5.115776,26.171165,12.34439,disease,weather,1
40.15522,27.999998,12.155222,147.74942,35.66923,disease,weather,1
31.257483,32.0,0.7425175,0.5513322,2.3476036,disease,weather,1
32.082066,34.0,1.9179344,3.6784725,5.804705,disease,weather,1
42.55016,26.999998,15.550161,241.80753,44.716396,disease,weather,1
31.295052,25.0,6.2950516,39.627674,22.364494,disease,weather,1
22.242937,59.0,36.757065,1351.0818,90.48679,disease,weather,1
27.521015,56.0,28.478985,811.05255,68.19598,disease,weather,1
37.74293,39.0,1.2570686,1.5802215,3.2760506,disease,weather,1
58.407356,40.0,18.407356,338.83075,37.41053,disease,weather,1
53.52176,42.0,11.521759,132.75093,24.123842,disease,weather,1
43.139694,49.0,5.860306,34.343185,12.720481,disease,weather,1
44.98406,41.0,3.9840584,15.872721,9.266971,disease,weather,1
45.54579,31.0,14.545792,211.58005,38.005466,disease,weather,1
52.07668,36.0,16.07668,258.45963,36.5061,disease,weather,1
53.486397,48.0,5.486397,30.10055,10.812083,disease,weather,1
17.415173,48.0,30.584827,935.43164,93.50988,disease,weather,1
67.340645,65.0,2.3406448,5.478618,3.5373032,disease,weather,1
35.841305,68.0,32.158695,1034.1816,61.938156,disease,weather,1
70.79233,8.999999,61.792328,3818.2917,154.88289,disease,weather,1
46.642906,7.9999986,38.642906,1493.2742,141.43796,disease,weather,1
42.989735,11.999999,30.989735,960.36365,112.710976,disease,weather,1
14.44344,15.999999,1.5565586,2.4228747,10.225904,disease,weather,1
23.003956,30.0,6.996044,48.944633,26.398197,disease,weather,1
22.28016,18.0,4.280161,18.319777,21.251955,disease,weather,1
31.921824,8.999999,22.921825,525.4101,112.0274,disease,weather,1
23.598463,27.999998,4.401535,19.37351,17.060722,disease,weather,1
31.425411,30.0,1.4254112,2.0317972,4.641113,disease,weather,1
32.526276,38.0,5.4737244,29.961658,15.5225115,disease,weather,1
31.166168,34.0,2.8338318,8.030602,8.697248,disease,weather,1
29.963432,32.0,2.0365677,4.147608,6.5734506,disease,weather,1
26.246967,36.0,9.753033,95.12164,31.336573,disease,weather,1
32.42359,46.0,13.576408,184.31886,34.623276,disease,weather,1
29.081944,46.0,16.918056,286.22064,45.065582,disease,weather,1
34.543503,19.0,15.543503,241.60048,58.05934,disease,weather,1
31.83193,53.0,21.16807,448.0872,49.9059,disease,weather,1
40.652214,23.0,17.652214,311.60065,55.464573,disease,weather,1
23.415503,25.0,1.5844975,2.5106323,6.5454135,disease,weather,1
18.030619,35.0,16.969381,287.9599,63.998432,disease,weather,1
15.883046,21.999998,6.116952,37.417103,32.293877,disease,weather,1
19.462626,21.0,1.5373745,2.3635204,7.5989857,disease,weather,1
20.23066,37.0,16.76934,281.2108,58.60265,disease,weather,1
35.64104,23.0,12.641041,159.79591,43.11329,disease,weather,1
34.573284,30.0,4.573284,20.914928,14.164631,disease,weather,1
17.310308,18.0,0.68969154,0.47567442,3.9064598,disease,weather,1
19.350622,43.0,23.649378,559.2931,75.859314,disease,weather,1
20.650759,25.0,4.3492413,18.9159,19.054409,disease,weather,1
26.720736,15.000001,11.720735,137.37563,56.18661,disease,weather,1
17.337498,16.999998,0.33749962,0.113905996,1.9657791,disease,weather,1
20.93885,4.9999986,15.938852,254.04701,122.8956,disease,weather,1
38.205883,8.999999,29.205883,852.9836,123.73833,disease,weather,1
16.237696,18.0,1.7623043,3.1057165,10.294527,disease,weather,1
24.793716,9.999999,14.793717,218.85408,85.03672,disease,weather,1
18.064045,9.999999,8.064046,65.02884,57.46888,disease,weather,1
17.95582,27.999998,10.044178,100.88551,43.712322,disease,weather,1
37.53437,21.0,16.53437,273.3854,56.494568,disease,weather,1
26.010267,33.0,6.9897327,48.856365,23.689886,disease,weather,1
25.061798,39.0,13.938202,194.27347,43.514862,disease,weather,1
23.46868,38.0,14.531321,211.15927,47.280403,disease,weather,1
19.992216,52.0,32.007782,1024.498,88.92012,disease,weather,1
26.1244,45.0,18.8756,356.2883,53.07771,disease,weather,1
14.706613,61.0,46.29339,2143.078,122.29682,disease,weather,1
45.677864,47.0,1.3221359,1.7480434,2.8531861,disease,weather,1
26.480661,46.0,19.519339,381.00458,53.86082,disease,weather,1
41.988274,67.0,25.011726,625.5865,45.898014,disease,weather,1
58.690765,59.0,0.30923462,0.09562605,0.52550364,disease,weather,1
38.11871,46.0,7.8812904,62.11474,18.738495,disease,weather,1
53.219414,48.0,5.2194138,27.24228,10.313068,disease,weather,1
84.97037,63.0,21.970367,482.69705,29.69563,disease,weather,1
62.10477,88.0,25.89523,670.5629,34.502872,disease,weather,1
63.766354,65.0,1.2336464,1.5218834,1.9161005,disease,weather,1
71.29591,60.0,11.295914,127.597664,17.206802,disease,weather,1
89.92231,62.0,27.92231,779.6554,36.75867,disease,weather,1
73.36539,83.0,9.634613,92.82577,12.323204,disease,weather,1
81.50593,84.0,2.494072,6.220395,3.0138764,disease,weather,1
101.50006,94.0,7.500061,56.250916,7.672694,disease,weather,1
101.94207,93.0,8.94207,79.96062,9.174079,disease,weather,1
92.89523,83.0,9.895233,97.91564,11.251281,disease,weather,1
83.97961,77.0,6.9796066,48.71491,8.671417,disease,weather,1
100.71886,45.0,55.718857,3104.591,76.474464,disease,weather,1
83.91362,54.0,29.91362,894.82465,43.380226,disease,weather,1
59.101894,77.0,17.898106,320.3422,26.301039,disease,weather,1
