y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
42.679974,45.0,2.3200264,5.3825226,5.2920322,disease,weather,1
41.817795,36.0,5.817795,33.846737,14.952352,disease,weather,1
41.35793,39.0,2.3579292,5.55983,5.868567,disease,weather,1
46.558777,33.0,13.558777,183.84042,34.08493,disease,weather,1
43.983955,46.0,2.0160446,4.064436,4.480898,disease,weather,1
46.502125,61.0,14.497875,210.18839,26.972258,disease,weather,1
50.739742,40.0,10.739742,115.342064,23.671528,disease,weather,1
48.115353,86.0,37.884647,1435.2465,56.495613,disease,weather,1
48.947765,85.0,36.052235,1299.7637,53.83029,disease,weather,1
49.704647,89.0,39.295353,1544.1248,56.66047,disease,weather,1
49.549995,75.0,25.450005,647.70276,40.86713,disease,weather,1
47.022213,63.0,15.977787,255.28967,29.044655,disease,weather,1
42.17658,62.0,19.823421,392.96805,38.057346,disease,weather,1
40.499584,73.0,32.500416,1056.277,57.26966,disease,weather,1
42.018112,71.0,28.981888,839.9498,51.287155,disease,weather,1
39.413086,72.0,32.586914,1061.907,58.497463,disease,weather,1
42.76878,51.0,8.23122,67.75298,17.55642,disease,weather,1
40.959034,53.0,12.040966,144.98486,25.630247,disease,weather,1
41.402485,44.0,2.597515,6.7470846,6.082997,disease,weather,1
37.536606,54.0,16.463394,271.04333,35.971172,disease,weather,1
38.984257,56.0,17.015743,289.53552,35.828556,disease,weather,1
41.803783,25.0,16.803783,282.36713,50.307877,disease,weather,1
34.25872,42.0,7.7412796,59.92741,20.302673,disease,weather,1
31.779888,21.999998,9.77989,95.64625,36.370068,disease,weather,1
32.232143,32.0,0.2321434,0.05389056,0.72282624,disease,weather,1
31.114883,20.0,11.114883,123.540634,43.48981,disease,weather,1
30.497478,40.0,9.5025215,90.29791,26.958471,disease,weather,1
32.316093,25.0,7.3160934,53.525223,25.52893,disease,weather,1
31.387741,34.0,2.612259,6.8238964,7.990057,disease,weather,1
30.211966,43.0,12.788034,163.53383,34.934273,disease,weather,1
28.925428,34.0,5.0745716,25.751278,16.128843,disease,weather,1
25.870863,16.999998,8.870865,78.692245,41.38412,disease,weather,1
21.926306,35.0,13.073694,170.92148,45.931995,disease,weather,1
21.558582,41.0,19.441418,377.96872,62.15428,disease,weather,1
25.052633,42.0,16.947367,287.21323,50.549442,disease,weather,1
21.665928,42.0,20.334072,413.4745,63.87741,disease,weather,1
23.454094,35.0,11.545906,133.30795,39.50418,disease,weather,1
23.98036,30.0,6.01964,36.236065,22.303074,disease,weather,1
24.795008,26.999998,2.2049904,4.861983,8.5142975,disease,weather,1
21.537704,24.0,2.4622955,6.062899,10.814316,disease,weather,1
19.665627,34.0,14.334373,205.47426,53.421062,disease,weather,1
18.735228,40.0,21.264772,452.19055,72.40892,disease,weather,1
23.840797,21.0,2.8407974,8.07013,12.670593,disease,weather,1
23.496185,11.000003,12.496182,156.15457,72.449646,disease,weather,1
20.745722,24.0,3.2542782,10.590326,14.5456505,disease,weather,1
23.950249,21.999998,1.9502506,3.8034775,8.488531,disease,weather,1
22.699266,21.999998,0.69926834,0.4889762,3.128769,disease,weather,1
23.321098,29.0,5.6789017,32.249924,21.707884,disease,weather,1
21.76991,32.0,10.230089,104.654724,38.051353,disease,weather,1
20.13005,32.0,11.869949,140.89569,45.539757,disease,weather,1
22.302227,31.0,8.697773,75.65125,32.63568,disease,weather,1
23.578228,27.999998,4.42177,19.552052,17.14588,disease,weather,1
22.683226,15.999999,6.6832266,44.665516,34.553616,disease,weather,1
23.511488,26.0,2.488512,6.1926923,10.05226,disease,weather,1
25.943129,35.0,9.056871,82.02692,29.722368,disease,weather,1
24.635157,33.0,8.364843,69.970604,29.026878,disease,weather,1
24.582197,21.999998,2.582199,6.6677523,11.086636,disease,weather,1
21.597433,29.0,7.402567,54.797997,29.260641,disease,weather,1
21.573784,34.0,12.426216,154.41084,44.719704,disease,weather,1
23.34083,25.0,1.6591702,2.7528455,6.864467,disease,weather,1
21.67465,30.0,8.32535,69.31145,32.222183,disease,weather,1
23.576912,33.0,9.423088,88.794586,33.31072,disease,weather,1
22.639784,30.0,7.360216,54.172783,27.96446,disease,weather,1
23.39994,27.999998,4.6000576,21.16053,17.899078,disease,weather,1
21.642294,32.0,10.357706,107.282074,38.617683,disease,weather,1
21.567688,41.0,19.432312,377.61475,62.116127,disease,weather,1
22.901419,26.0,3.0985813,9.601206,12.672766,disease,weather,1
20.90358,26.999998,6.0964184,37.166317,25.452873,disease,weather,1
20.670296,42.0,21.329704,454.9563,68.06958,disease,weather,1
22.395758,35.0,12.604242,158.86693,43.920467,disease,weather,1
19.103909,34.0,14.896091,221.89354,56.101673,disease,weather,1
21.62545,33.0,11.37455,129.38039,41.645607,disease,weather,1
21.849504,38.0,16.150496,260.8385,53.97036,disease,weather,1
24.958298,24.0,0.9582977,0.91833454,3.914751,disease,weather,1
21.745466,25.0,3.2545338,10.59199,13.924488,disease,weather,1
20.133259,46.0,25.866741,669.0883,78.22613,disease,weather,1
23.980688,40.0,16.019312,256.61835,50.07546,disease,weather,1
24.731905,13.999999,10.731906,115.173805,55.416363,disease,weather,1
19.250565,-1.2389615e-06,19.250566,370.58432,200.0,disease,weather,1
18.741404,-1.2389615e-06,18.741405,351.24026,200.0,disease,weather,1
18.917645,2.9999988,15.917645,253.37143,145.24962,disease,weather,1
17.67863,3.9999988,13.678632,187.10497,126.19462,disease,weather,1
16.422136,2.9999988,13.422137,180.15376,138.21484,disease,weather,1
17.814835,2.9999988,14.814836,219.47935,142.34883,disease,weather,1
18.362726,-1.2389615e-06,18.362728,337.1898,200.0,disease,weather,1
18.234186,44.0,25.765814,663.87714,82.802765,disease,weather,1
22.587934,44.0,21.412066,458.47656,64.31215,disease,weather,1
24.95965,31.0,6.04035,36.48583,21.588234,disease,weather,1
22.287743,26.999998,4.7122555,22.20535,19.12141,disease,weather,1
