y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
46.019314,45.0,1.0193138,1.0390006,2.2397747,disease,weather,1
43.72258,36.0,7.72258,59.63824,19.373632,disease,weather,1
39.758015,39.0,0.7580147,0.5745863,1.9249208,disease,weather,1
41.852314,33.0,8.852314,78.363464,23.652748,disease,weather,1
38.742397,46.0,7.2576027,52.6728,17.128622,disease,weather,1
40.809193,61.0,20.190807,407.6687,39.664017,disease,weather,1
50.98391,40.0,10.98391,120.64627,24.14473,disease,weather,1
45.988243,86.0,40.011757,1600.9407,60.629272,disease,weather,1
68.28641,85.0,16.713593,279.34418,21.807013,disease,weather,1
60.145542,89.0,28.854458,832.5797,38.693024,disease,weather,1
75.88507,75.0,0.8850708,0.78335035,1.1731721,disease,weather,1
88.07922,63.0,25.079224,628.96747,33.200096,disease,weather,1
72.92327,62.0,10.923271,119.317856,16.191826,disease,weather,1
57.705914,73.0,15.294086,233.90909,23.402287,disease,weather,1
80.35861,71.0,9.358612,87.58362,12.366144,disease,weather,1
84.45223,72.0,12.452232,155.05809,15.918253,disease,weather,1
87.40784,51.0,36.407837,1325.5306,52.609505,disease,weather,1
68.37299,53.0,15.372993,236.32893,25.33182,disease,weather,1
54.632103,44.0,10.632103,113.04161,21.559113,disease,weather,1
44.134697,54.0,9.865303,97.3242,20.105639,disease,weather,1
55.17922,56.0,0.8207817,0.67368263,1.4765021,disease,weather,1
56.40127,25.0,31.401272,986.03986,77.151794,disease,weather,1
35.11338,42.0,6.8866196,47.42553,17.861023,disease,weather,1
45.68173,21.999998,23.68173,560.82434,69.97969,disease,weather,1
36.451523,32.0,4.451523,19.816055,13.006351,disease,weather,1
46.55492,20.0,26.55492,705.16376,79.79852,disease,weather,1
41.056103,40.0,1.0561028,1.115353,2.605856,disease,weather,1
44.713364,25.0,19.713364,388.6167,56.55548,disease,weather,1
37.775406,34.0,3.775406,14.25369,10.520055,disease,weather,1
44.267876,43.0,1.2678757,1.6075087,2.9057097,disease,weather,1
43.19672,34.0,9.19672,84.57966,23.826714,disease,weather,1
36.571545,16.999998,19.571547,383.04544,73.066956,disease,weather,1
