y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
40.271404,45.0,4.7285957,22.359617,11.090694,disease,weather,1
52.110558,36.0,16.110558,259.55008,36.568962,disease,weather,1
44.97882,39.0,5.978821,35.7463,14.238877,disease,weather,1
46.20298,33.0,13.20298,174.31868,33.339603,disease,weather,1
43.642967,46.0,2.3570328,5.5556035,5.2587123,disease,weather,1
44.176117,61.0,16.823883,283.04303,31.99183,disease,weather,1
49.048904,40.0,9.048904,81.88267,20.32345,disease,weather,1
42.649067,86.0,43.350933,1879.3033,67.39409,disease,weather,1
54.793724,85.0,30.206276,912.4191,43.215496,disease,weather,1
28.905457,89.0,60.094543,3611.3542,101.93683,disease,weather,1
40.753532,75.0,34.246468,1172.8206,59.171356,disease,weather,1
34.859226,63.0,28.140774,791.90314,57.512768,disease,weather,1
46.76657,62.0,15.233429,232.05736,28.011232,disease,weather,1
34.587166,73.0,38.412834,1475.5458,71.40784,disease,weather,1
47.08893,71.0,23.911072,571.7394,40.496723,disease,weather,1
41.98382,72.0,30.016178,900.97095,52.667435,disease,weather,1
48.203846,51.0,2.796154,7.818477,5.637189,disease,weather,1
45.36882,53.0,7.63118,58.234905,15.515444,disease,weather,1
36.240677,44.0,7.759323,60.207096,19.340124,disease,weather,1
29.113165,54.0,24.886835,619.35455,59.886623,disease,weather,1
43.042564,56.0,12.957436,167.89514,26.165386,disease,weather,1
32.174553,25.0,7.174553,51.47421,25.097015,disease,weather,1
31.754107,42.0,10.2458935,104.97833,27.783928,disease,weather,1
40.28611,21.999998,18.286112,334.3819,58.7165,disease,weather,1
36.118286,32.0,4.118286,16.960281,12.091574,disease,weather,1
31.552425,20.0,11.552425,133.45853,44.818165,disease,weather,1
30.608656,40.0,9.391344,88.19734,26.601112,disease,weather,1
43.926857,25.0,18.926857,358.22592,54.91867,disease,weather,1
29.674006,34.0,4.3259945,18.714228,13.587946,disease,weather,1
29.261665,43.0,13.738335,188.74184,38.023853,disease,weather,1
31.945862,34.0,2.0541382,4.219484,6.229771,disease,weather,1
