y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
40.0046,45.0,4.9953995,24.954016,11.753244,disease,weather,1
40.275864,36.0,4.2758636,18.28301,11.211577,disease,weather,1
32.57688,39.0,6.4231186,41.25645,17.947466,disease,weather,1
33.390816,33.0,0.39081573,0.15273693,1.1773187,disease,weather,1
31.346992,46.0,14.6530075,214.71063,37.889015,disease,weather,1
37.798893,61.0,23.201107,538.2914,46.96633,disease,weather,1
50.095844,40.0,10.095844,101.92607,22.411343,disease,weather,1
33.93297,86.0,52.06703,2710.9758,86.82689,disease,weather,1
54.559757,85.0,30.440243,926.6084,43.623238,disease,weather,1
55.28646,89.0,33.71354,1136.6027,46.731396,disease,weather,1
55.448803,75.0,19.551197,382.2493,29.97528,disease,weather,1
50.803673,63.0,12.196327,148.7504,21.433977,disease,weather,1
43.479313,62.0,18.520687,343.01584,35.117195,disease,weather,1
49.867077,73.0,23.132923,535.13214,37.6552,disease,weather,1
49.786583,71.0,21.213417,450.00906,35.125454,disease,weather,1
41.571415,72.0,30.428585,925.8988,53.584938,disease,weather,1
44.619495,51.0,6.3805046,40.71084,13.345615,disease,weather,1
39.28816,53.0,13.711842,188.0146,29.715275,disease,weather,1
44.55395,44.0,0.55395126,0.306862,1.2511045,disease,weather,1
35.379444,54.0,18.620556,346.7251,41.66631,disease,weather,1
39.285343,56.0,16.714657,279.37976,35.083374,disease,weather,1
35.742695,25.0,10.742695,115.405495,35.371147,disease,weather,1
24.536264,42.0,17.463736,304.98206,52.49389,disease,weather,1
32.396652,21.999998,10.396654,108.090416,38.225346,disease,weather,1
24.921295,32.0,7.078705,50.108063,24.871904,disease,weather,1
26.125301,20.0,6.1253014,37.519318,26.559397,disease,weather,1
21.29485,40.0,18.70515,349.88266,61.03335,disease,weather,1
28.473658,25.0,3.4736576,12.066298,12.992033,disease,weather,1
23.33015,34.0,10.669849,113.84569,37.222473,disease,weather,1
29.092833,43.0,13.907167,193.4093,38.581276,disease,weather,1
34.824745,34.0,0.8247452,0.68020463,2.396653,disease,weather,1
26.174776,16.999998,9.174778,84.17655,42.50064,disease,weather,1
20.547497,35.0,14.452503,208.87485,52.03656,disease,weather,1
24.214184,41.0,16.785816,281.7636,51.47903,disease,weather,1
31.56492,42.0,10.43508,108.890884,28.369717,disease,weather,1
28.84808,42.0,13.15192,172.973,37.1271,disease,weather,1
25.406101,35.0,9.593899,92.04289,31.764668,disease,weather,1
30.089422,30.0,0.089422226,0.007996335,0.29763052,disease,weather,1
25.55954,26.999998,1.4404583,2.0749202,5.481244,disease,weather,1
27.639967,24.0,3.639967,13.249359,14.097479,disease,weather,1
26.075748,34.0,7.9242516,62.793762,26.380867,disease,weather,1
23.526312,40.0,16.473688,271.3824,51.86414,disease,weather,1
22.676088,21.0,1.6760883,2.809272,7.6750846,disease,weather,1
23.608988,11.000003,12.608985,158.9865,72.86537,disease,weather,1
15.301049,24.0,8.698951,75.671745,44.268288,disease,weather,1
26.717432,21.999998,4.717434,22.254183,19.366512,disease,weather,1
24.36959,21.999998,2.3695927,5.6149693,10.22046,disease,weather,1
20.29281,29.0,8.70719,75.81515,35.328438,disease,weather,1
20.657629,32.0,11.342371,128.64938,43.079685,disease,weather,1
16.465523,32.0,15.534477,241.31998,64.10527,disease,weather,1
20.704208,31.0,10.295792,106.00333,39.82574,disease,weather,1
36.062504,27.999998,8.062506,65.004,25.17075,disease,weather,1
16.241295,15.999999,0.24129581,0.05822367,1.4968121,disease,weather,1
23.366638,26.0,2.6333618,6.9345946,10.668589,disease,weather,1
22.991537,35.0,12.008463,144.20319,41.414536,disease,weather,1
20.228079,33.0,12.771921,163.12196,47.98941,disease,weather,1
24.401773,21.999998,2.4017754,5.7685246,10.352085,disease,weather,1
23.30757,29.0,5.6924305,32.403767,21.765226,disease,weather,1
27.039932,34.0,6.9600677,48.442543,22.804966,disease,weather,1
29.601048,25.0,4.6010475,21.169638,16.85333,disease,weather,1
20.692787,30.0,9.307213,86.624214,36.720066,disease,weather,1
24.220016,33.0,8.7799835,77.08811,30.688503,disease,weather,1
23.09489,30.0,6.9051094,47.680534,26.010448,disease,weather,1
26.316896,27.999998,1.6831017,2.8328311,6.197341,disease,weather,1
28.580309,32.0,3.419691,11.694287,11.289779,disease,weather,1
25.946606,41.0,15.053394,226.60468,44.97134,disease,weather,1
28.210032,26.0,2.2100315,4.884239,8.153589,disease,weather,1
21.820284,26.999998,5.179714,26.82944,21.219517,disease,weather,1
22.313559,42.0,19.686441,387.55597,61.22019,disease,weather,1
28.854963,35.0,6.1450367,37.761475,19.246857,disease,weather,1
21.844168,34.0,12.155832,147.76425,43.534832,disease,weather,1
24.055351,33.0,8.944649,80.006744,31.354284,disease,weather,1
22.62711,38.0,15.37289,236.32576,50.712925,disease,weather,1
31.052616,24.0,7.052616,49.739395,25.621367,disease,weather,1
25.990221,25.0,0.990221,0.98053765,3.8839645,disease,weather,1
24.09073,46.0,21.90927,480.01608,62.51688,disease,weather,1
29.20483,40.0,10.79517,116.53569,31.197733,disease,weather,1
25.040108,13.999999,11.040109,121.884,56.55778,disease,weather,1
13.471049,-1.2389615e-06,13.47105,181.4692,200.0,disease,weather,1
17.140087,-1.2389615e-06,17.140089,293.78265,200.0,disease,weather,1
16.49986,2.9999988,13.499862,182.24626,138.46112,disease,weather,1
15.615083,3.9999988,11.615084,134.91017,118.43014,disease,weather,1
11.416785,2.9999988,8.416786,70.84229,116.76371,disease,weather,1
14.901498,2.9999988,11.901499,141.64568,132.96652,disease,weather,1
10.8200445,-1.2389615e-06,10.820045,117.07339,200.0,disease,weather,1
15.7551775,44.0,28.244823,797.7701,94.53516,disease,weather,1
28.637331,44.0,15.362669,236.0116,42.299652,disease,weather,1
27.18495,31.0,3.8150501,14.554607,13.113528,disease,weather,1
24.925764,26.999998,2.074234,4.302447,7.989229,disease,weather,1
23.264486,50.0,26.735514,714.7877,72.98356,disease,weather,1
33.33012,39.0,5.66988,32.147537,15.677783,disease,weather,1
26.087622,-1.2389615e-06,26.087624,680.5641,200.0,disease,weather,1
26.794996,-1.2389615e-06,26.794998,717.9719,200.0,disease,weather,1
12.456862,33.0,20.543137,422.02045,90.38519,disease,weather,1
28.964218,38.0,9.035782,81.645355,26.986897,disease,weather,1
30.007414,31.0,0.99258614,0.9852272,3.2539852,disease,weather,1
25.750275,34.0,8.249725,68.05797,27.614016,disease,weather,1
26.885307,20.0,6.8853073,47.407455,29.370853,disease,weather,1
25.425644,21.0,4.425644,19.586325,19.065514,disease,weather,1
27.58652,37.0,9.413481,88.61362,29.149988,disease,weather,1
32.955288,21.999998,10.95529,120.01838,39.869835,disease,weather,1
23.20714,46.0,22.79286,519.51447,65.86852,disease,weather,1
32.851284,26.0,6.851284,46.940094,23.28338,disease,weather,1
24.00721,31.0,6.99279,48.899117,25.424995,disease,weather,1
27.64113,32.0,4.3588696,18.999744,14.616992,disease,weather,1
31.126793,23.0,8.126793,66.04476,30.028725,disease,weather,1
29.084263,23.0,6.084263,37.018253,23.363152,disease,weather,1
29.994617,32.0,2.0053825,4.0215592,6.4695373,disease,weather,1
31.605736,30.0,1.6057358,2.5783875,5.2129426,disease,weather,1
29.316631,26.999998,2.3166332,5.3667893,8.227173,disease,weather,1
29.912544,26.999998,2.9125462,8.482925,10.235165,disease,weather,1
32.55068,36.0,3.4493217,11.89782,10.063568,disease,weather,1
38.050133,33.0,5.0501328,25.503841,14.215689,disease,weather,1
33.09417,39.0,5.9058304,34.878834,16.383656,disease,weather,1
37.925667,37.0,0.9256668,0.856859,2.4708939,disease,weather,1
37.56466,44.0,6.435341,41.413612,15.779729,disease,weather,1
43.184464,27.999998,15.184465,230.568,42.6623,disease,weather,1
35.977524,32.0,3.9775238,15.820696,11.702468,disease,weather,1
31.212599,34.0,2.7874012,7.7696056,8.548658,disease,weather,1
42.501755,26.999998,15.501757,240.30446,44.608246,disease,weather,1
27.816236,25.0,2.8162365,7.931188,10.664283,disease,weather,1
31.546307,59.0,27.453693,753.70526,60.640114,disease,weather,1
47.955803,56.0,8.044197,64.70911,15.476187,disease,weather,1
41.149273,39.0,2.149273,4.6193743,5.363175,disease,weather,1
49.99654,40.0,9.99654,99.93082,22.21539,disease,weather,1
44.93994,42.0,2.9399414,8.643255,6.763155,disease,weather,1
51.96317,49.0,2.963169,8.780371,5.8698025,disease,weather,1
44.616585,41.0,3.6165848,13.079685,8.448327,disease,weather,1
33.32011,31.0,2.3201103,5.3829117,7.214261,disease,weather,1
32.16353,36.0,3.8364716,14.718514,11.256669,disease,weather,1
35.14911,48.0,12.850891,165.1454,30.910471,disease,weather,1
44.62586,48.0,3.3741417,11.384832,7.2855287,disease,weather,1
58.472755,65.0,6.5272446,42.604923,10.572769,disease,weather,1
50.25595,68.0,17.74405,314.8513,30.009567,disease,weather,1
58.909897,8.999999,49.909897,2490.9978,146.98859,disease,weather,1
31.962727,7.9999986,23.962729,574.21234,119.92539,disease,weather,1
24.81478,11.999999,12.81478,164.2186,69.617584,disease,weather,1
